"text";"section";"header";"div";"p";"s";"id";"p_comp";"p_value";"expanded";"context"
"p = .29";"results";"Effects of peripheral vision on early attention.";11;2;3;"09567976211026983";"=";0,29;"Because the three-way interaction was nonsignificant, b = 0.51, SE = 0.49, z = 1.05, p = .29, we removed this term and other higher order interactions that did not significantly improve model fit.";"The model also included a random intercept for participant and random slopes for frame, time constraint, and probability. Because the three-way interaction was nonsignificant, b = 0.51, SE = 0.49, z = 1.05, p = .29, we removed this term and other higher order interactions that did not significantly improve model fit. The final model had two interaction terms (Frame × Time Constraint and Probability × Time Constraint) and their simple effects (see Table S3 in the Supplemental Material)."
"p = .11 ";"results";"Effects of peripheral vision on early attention.";11;3;1;"09567976211026983";"=";0,11;"Probability × Time Constraint interaction on first fixation, b = 0.72, SE = 0.24, z = 2.93, p = .003; participants were significantly more likely to fixate high-probability gambles first when time was limited, b = 1.04, SE = 0.21, z = 4.86, p < .001, but not when it was unlimited, b = 0.32, SE = 0.20, z = 1.62, p = .11 (see Fig.";"Probability × Time Constraint interaction on first fixation, b = 0.72, SE = 0.24, z = 2.93, p = .003; participants were significantly more likely to fixate high-probability gambles first when time was limited, b = 1.04, SE = 0.21, z = 4.86, p < .001, but not when it was unlimited, b = 0.32, SE = 0.20, z = 1.62, p = .11 (see Fig. 3)."
"p = .294";"results";"Effects of Attention × Time Constraint interactions on choice";12;2;3;"09567976211026983";"=";0,294;"Contrary to our preregistered hypothesis, results for the three-way Frame × Time Constraint × First Fixation interaction were nonsignificant, b = 0.20, SE = 0.19, z = 1.05, p = .294.";"A random intercept for participant and random slopes for frame, time constraint, and first fixation were included in the model. Contrary to our preregistered hypothesis, results for the three-way Frame × Time Constraint × First Fixation interaction were nonsignificant, b = 0.20, SE = 0.19, z = 1.05, p = .294. However, unpacking the model revealed results consistent with our post hoc alternative prediction: The Time Constraint × First Fixation interaction was significant and the same for both frames-gain: b = 0.64, SE = 0.14, z = 4.62, p < .001; loss: b = 0.44, SE = 0.14, z = 3.16, p = .002."
"p = .087";"results";"Effects of Attention × Time Constraint interactions on choice";12;3;2;"09567976211026983";"=";0,087;"Meanwhile, when time was unlimited, fixating the gamble first had no effect on choice-gain: b = 0.18, SE = 0.11, z = 1.71, p = .087; loss: b = 0.04, SE = 0.11, z = 0.34, p = .734.";"Gain Frame Loss Frame 0.2 0.4 0.6 0.8 0.2 0 .4 0.6 0 .8 0.00 0.25 0.50 0.75 1.00 Probability of Winning Gamble Probability of Fixating Gamble First No Time Constraint Time Constraint was limited, fixating the gamble first increased the probability of choosing the gamble in both gain-framed trials, b = 0.82, SE = 0.12, z = 6.95, p < .001, and lossframed trials, b = 0.47, SE = 0.12, z = 4.09, p < .001. Gain Frame Loss Frame 0.2 0.4 0.6 0.8 0.2 0 .4 0.6 0 .8 0.00 0.25 0.50 0.75 1.00 Probability of Winning Gamble Probability of Fixating Gamble First No Time Constraint Time Constraint was limited, fixating the gamble first increased the probability of choosing the gamble in both gain-framed trials, b = 0.82, SE = 0.12, z = 6.95, p < .001, and lossframed trials, b = 0.47, SE = 0.12, z = 4.09, p < .001. Meanwhile, when time was unlimited, fixating the gamble first had no effect on choice-gain: b = 0.18, SE = 0.11, z = 1.71, p = .087; loss: b = 0.04, SE = 0.11, z = 0.34, p = .734. Meanwhile, when time was unlimited, fixating the gamble first had no effect on choice-gain: b = 0.18, SE = 0.11, z = 1.71, p = .087; loss: b = 0.04, SE = 0.11, z = 0.34, p = .734. Thus, early attention had a larger impact on choice when time was limited than when it was unlimited; specifically, decision makers were more likely to choose the option they fixated first. Thus, early attention had a larger impact on choice when time was limited than when it was unlimited; specifically, decision makers were more likely to choose the option they fixated first."
"p = .056 ";"results";"Gatekeeping versus primacy effects of attention.";13;1;7;"09567976211026983";"=";0,056;"This exploratory model revealed a marginal three-way Time Constraint × First Fixation × Number of Options Fixated interaction, b = -0.68, SE = 0.36, z = -1.91, p = .056 (see Fig.";"We also included a random intercept for participant and random slopes for frame, time constraint, first fixation, and number of options fixated. This exploratory model revealed a marginal three-way Time Constraint × First Fixation × Number of Options Fixated interaction, b = -0.68, SE = 0.36, z = -1.91, p = .056 (see Fig. 4)."
"p = .09";"results";"Gatekeeping versus primacy effects of attention.";13;2;1;"09567976211026983";"=";0,09;"When participants fixated only one of the two options, they were highly likely to choose whichever option they fixated regardless of whether time was unlimited, b = 3.52, SE = 0.32, z = 10.86, p < .001, or constrained, b = 2.95, SE = 0.15, z = 20.18, p < .001 (there was no difference between conditions, b = -0.57, SE = 0.34, z = -1.70, p = .09).";"When participants fixated only one of the two options, they were highly likely to choose whichever option they fixated regardless of whether time was unlimited, b = 3.52, SE = 0.32, z = 10.86, p < .001, or constrained, b = 2.95, SE = 0.15, z = 20.18, p < .001 (there was no difference between conditions, b = -0.57, SE = 0.34, z = -1.70, p = .09). Thus, there was evidence of a strong gatekeeping effect, independent of time constraints; specifically, decision makers rarely chose an option they had not seen."
"p = .08";"results";"Gatekeeping versus primacy effects of attention.";13;3;2;"09567976211026983";"=";0,08;"First fixation had no effect on choice when time was unlimited and both options were attended, b = -0.17, SE = 0.09, z = -1.76, p = .08.";"Meanwhile, when participants fixated both of the options, there was a significant Time Constraint × First Fixation interaction, b = -1.25, SE = 0.13, z = -9.74, p < .001. First fixation had no effect on choice when time was unlimited and both options were attended, b = -0.17, SE = 0.09, z = -1.76, p = .08. However, fixating the gamble first and then the sure option actually reduced the chance of choosing the gamble when time was limited, b = -1.42, SE = 0.13, z = -11.29, p < .001."
"p = .47";"results";"Gatekeeping versus primacy effects of attention.";13;6;6;"09567976211026983";"=";0,47;"There was no First Fixation × Expected Value interaction, b = -0.54, SE = 0.74, z = -0.72, p = .47.";"Examining gain-framed trials, we found that participants were significantly less likely to look at the second option if the first fixated option had a high expected value, regardless of whether they fixated the gamble, b = -2.47, SE = 0.58, z = -4.26, p < .001, or the sure option, b = -1.93, SE = 0.46, z = -4.18, p < .001. There was no First Fixation × Expected Value interaction, b = -0.54, SE = 0.74, z = -0.72, p = .47. Meanwhile, on lossframed trials, there was a significant interaction, b = -4.51, SE = 0.75, z = -6.03, p < .001; participants were less likely to look at the second option if they first fixated a gamble with high expected value, b = -4.31, SE = 0.49, z = -8.74, p < .001, whereas there was no effect of expected value if they first fixated the sure loss, b = 0.20, SE = 0.56, z = 0.35, p = .73."
"p = .73";"results";"Gatekeeping versus primacy effects of attention.";13;6;7;"09567976211026983";"=";0,73;"Meanwhile, on lossframed trials, there was a significant interaction, b = -4.51, SE = 0.75, z = -6.03, p < .001; participants were less likely to look at the second option if they first fixated a gamble with high expected value, b = -4.31, SE = 0.49, z = -8.74, p < .001, whereas there was no effect of expected value if they first fixated the sure loss, b = 0.20, SE = 0.56, z = 0.35, p = .73.";"There was no First Fixation × Expected Value interaction, b = -0.54, SE = 0.74, z = -0.72, p = .47. Meanwhile, on lossframed trials, there was a significant interaction, b = -4.51, SE = 0.75, z = -6.03, p < .001; participants were less likely to look at the second option if they first fixated a gamble with high expected value, b = -4.31, SE = 0.49, z = -8.74, p < .001, whereas there was no effect of expected value if they first fixated the sure loss, b = 0.20, SE = 0.56, z = 0.35, p = .73. In sum, there was clear evidence that the continuation of information search was influenced by the value of the option that was seen first in all cases except for when a sure loss was fixated first."
"p = .65";"method";"Method";4;21;4;"09567976211028978";"=";0,65;"Dropout did not differ significantly by condition (p = .65).";"Eight participants left the survey before completing this measure, reducing the degrees of freedom for analyses of it. Dropout did not differ significantly by condition (p = .65)."
"p = .098";"results";"Results";5;7;3;"09567976211028978";"=";0,098;"There was some evidence for this in further exploratory analyses: Among participants who identified more with their refugee identity, greater effects were found on refugees' self-perceived academic preparation (p = .098), self-efficacy (p = .42), and challenge seeking (p = .02; see Fig.";"Schmader, 2002). Schmader, 2002). There was some evidence for this in further exploratory analyses: Among participants who identified more with their refugee identity, greater effects were found on refugees' self-perceived academic preparation (p = .098), self-efficacy (p = .42), and challenge seeking (p = .02; see Fig. There was some evidence for this in further exploratory analyses: Among participants who identified more with their refugee identity, greater effects were found on refugees' self-perceived academic preparation (p = .098), self-efficacy (p = .42), and challenge seeking (p = .02; see Fig. S1 in the Supplemental Material). S1 in the Supplemental Material)."
"p ≤ .786";"results";"Results";8;2;5;"09567976211028978";"≤";0,786;"At the same time, logins were greater every month in the treatment condition than in the studyskills control condition (by 9% to 54%; .016 ≤ p ≤ .786).";"This reduced power to detect condition effects on a monthby-month basis. At the same time, logins were greater every month in the treatment condition than in the studyskills control condition (by 9% to 54%; .016 ≤ p ≤ .786). Critically, the statistical effect on cumulative logins was stable over the year-long assessment period."
"p = .080";"results";"Results";8;3;1;"09567976211028978";"=";0,08;"Analyses of the course-completion data show that participants finished 39% more courses 7 months after the intervention in the intervention condition (M = 1.83, SD = 4.75) than in the study-skills control condition (M = 1.31, SD = 3.21), resulting in a marginally significant difference over this period (b = 0.33, z = 1.75, p = .080, IRR = 1.39, 95% CI = [0.96, 2.02]).";"Analyses of the course-completion data show that participants finished 39% more courses 7 months after the intervention in the intervention condition (M = 1.83, SD = 4.75) than in the study-skills control condition (M = 1.31, SD = 3.21), resulting in a marginally significant difference over this period (b = 0.33, z = 1.75, p = .080, IRR = 1.39, 95% CI = [0.96, 2.02]). Thus, although technical difficulties prevented us from obtaining course-completion data over the full 1-year assessment period, there was some evidence that the intervention increased refugees' long-term academic achievement as well as their engagement."
"p = .544";"results";"Familiarization phase (dynamic video)";12;3;1;"09567976211030630";"=";0,544;"Preliminary analyses revealed no effect of model pair, F(3, 75) = 0.72, p = .544, η p 2 = .03, or learning order (high variability first or low variability first), F(3, 75) = 0.01, p = .957, η p 2 = .01, on the mean area-weighted fixations for high-variability and low-variability videos; therefore, data were collapsed across testing orders and model pairs for further analyses.";"Preliminary analyses revealed no effect of model pair, F(3, 75) = 0.72, p = .544, η p 2 = .03, or learning order (high variability first or low variability first), F(3, 75) = 0.01, p = .957, η p 2 = .01, on the mean area-weighted fixations for high-variability and low-variability videos; therefore, data were collapsed across testing orders and model pairs for further analyses. Preliminary analyses revealed no effect of model pair, F(3, 75) = 0.72, p = .544, η p 2 = .03, or learning order (high variability first or low variability first), F(3, 75) = 0.01, p = .957, η p 2 = .01, on the mean area-weighted fixations for high-variability and low-variability videos; therefore, data were collapsed across testing orders and model pairs for further analyses."
"p = .968";"results";"Familiarization phase (dynamic video)";12;4;6;"09567976211030630";"=";0,968;"However, fixations on the nonface region did not significantly differ for high-variability videos (M = 18.71, SE = 2.29) and low-variability videos (M = 18.61, SE = 2.40), t(82) = 0.04, p = .968, Cohen's d = 0.01, a pattern consistent across age groups (see Fig. 4a).";"Specifically, area-weighted fixations were greater for faces in high-variability videos (M = 703.20, SE = 39.24) than low-variability videos (M = 523.20, SE = 27.30), t(82) = 6.43, p < .001, Cohen's d = 0.71. However, fixations on the nonface region did not significantly differ for high-variability videos (M = 18.71, SE = 2.29) and low-variability videos (M = 18.61, SE = 2.40), t(82) = 0.04, p = .968, Cohen's d = 0.01, a pattern consistent across age groups (see Fig. 4a). This suggests that, like adults, infants between 6 and 12 months of age were capable of directing their attention to highly variable faces despite the presence of increased variability in the background context in the high-variability condition."
"p = .150";"results";"Familiarization phase (dynamic video)";12;5;9;"09567976211030630";"=";0,15;"Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013).";"Follow-up tests revealed that the effect of segment and variability differed for infants and adults (ps < .013). Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013). For adults, patterns were similar to those in infants for high-variability videos: d was greater for Segment 2 than both Segments 1 and 3 (ps < .001), and there was no difference between Segments 1 and 3 (p = .190); but when adults learned faces from low-variability videos, there was no decrease of d from Segment 1 to Segment 2 (p = .121) or from Segment 2 to Segment 3 (p = .076) but a decrease of d from Segment 1 to Segment 3 (p = .006)."
"p = .190";"results";"Familiarization phase (dynamic video)";12;5;10;"09567976211030630";"=";0,19;"For adults, patterns were similar to those in infants for high-variability videos: d was greater for Segment 2 than both Segments 1 and 3 (ps < .001), and there was no difference between Segments 1 and 3 (p = .190); but when adults learned faces from low-variability videos, there was no decrease of d from Segment 1 to Segment 2 (p = .121) or from Segment 2 to Segment 3 (p = .076) but a decrease of d from Segment 1 to Segment 3 (p = .006).";"Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013). Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013). Specifically, when infants learned faces from high-variability videos, d was greater for Segment 2 than both Segments 1 and 3 (ps < .021), and there was no difference between Segments 1 and 3 (p = .150); but when they learned faces from low-variability videos, there was a linear decrease of d from Segment 1 to Segment 3, and there were significant differences among the three segments (ps < .013). For adults, patterns were similar to those in infants for high-variability videos: d was greater for Segment 2 than both Segments 1 and 3 (ps < .001), and there was no difference between Segments 1 and 3 (p = .190); but when adults learned faces from low-variability videos, there was no decrease of d from Segment 1 to Segment 2 (p = .121) or from Segment 2 to Segment 3 (p = .076) but a decrease of d from Segment 1 to Segment 3 (p = .006). For adults, patterns were similar to those in infants for high-variability videos: d was greater for Segment 2 than both Segments 1 and 3 (ps < .001), and there was no difference between Segments 1 and 3 (p = .190); but when adults learned faces from low-variability videos, there was no decrease of d from Segment 1 to Segment 2 (p = .121) or from Segment 2 to Segment 3 (p = .076) but a decrease of d from Segment 1 to Segment 3 (p = .006). For adults, patterns were similar to those in infants for high-variability videos: d was greater for Segment 2 than both Segments 1 and 3 (ps < .001), and there was no difference between Segments 1 and 3 (p = .190); but when adults learned faces from low-variability videos, there was no decrease of d from Segment 1 to Segment 2 (p = .121) or from Segment 2 to Segment 3 (p = .076) but a decrease of d from Segment 1 to Segment 3 (p = .006)."
"p = .761";"results";"Familiarization phase (dynamic video)";12;7;4;"09567976211030630";"=";0,761;"Participants allocated more area-weighted fixations to the eye region (M = 5,943.88, SE = 853.27) and nose region (M = 5,690.79, SE = 465.17) than the mouth region (M = 1,210.98, SE = 120.56; there was no difference between eyes and nose, p = .761).";"We found significant main effects of AOI, F(1, 81) = 24.99, p < .001, η p 2 = .24; variability type, F(1, 81) = 13.60, p < .001, η p 2 = .14; and age group, F(1, 81) = 36.18, p < .001, η p 2 = .31. Participants allocated more area-weighted fixations to the eye region (M = 5,943.88, SE = 853.27) and nose region (M = 5,690.79, SE = 465.17) than the mouth region (M = 1,210.98, SE = 120.56; there was no difference between eyes and nose, p = .761). Fixation counts were greater in high-variability videos (M = 4,810.89, SE = 447.68) than low-variability videos (M = 3,752.88, SE = 319.07) and in adults (M = 6,455.24, SE = 469.25) than in infants (M = 2,108.53, SE = 549.52)."
"p = .710";"results";"Familiarization phase (dynamic video)";12;7;7;"09567976211030630";"=";0,71;"Follow-up tests revealed that the AOI × Variability interaction was significant for adults, F(2, 94) = 8.10, p = .001, η p 2 = .15, but not for infants, F(2, 68) = 0.34, p = .710, η p 2 = .01.";"Importantly, we found a significant AOI × Variability interaction, F(2, 160) = 4.57, p = .012, η p 2 = .05; a significant AOI × Age interaction, F(2, 160) = 6.72, p = .002, η p 2 = .08; and a significant AOI × Variability × Age interaction, F(2, 160) = 5.22, p = .006, η p 2 = .06. Follow-up tests revealed that the AOI × Variability interaction was significant for adults, F(2, 94) = 8.10, p = .001, η p 2 = .15, but not for infants, F(2, 68) = 0.34, p = .710, η p 2 = .01. Specifically, adults' area-weighted fixation counts on the eyes and nose were greater in high-variability than low-variability videos (ps < .003), but their fixation counts on the mouth were similar in high-variability and low-variability videos (p = .944)."
"p = .944";"results";"Familiarization phase (dynamic video)";12;7;8;"09567976211030630";"=";0,944;"Specifically, adults' area-weighted fixation counts on the eyes and nose were greater in high-variability than low-variability videos (ps < .003), but their fixation counts on the mouth were similar in high-variability and low-variability videos (p = .944).";"Follow-up tests revealed that the AOI × Variability interaction was significant for adults, F(2, 94) = 8.10, p = .001, η p 2 = .15, but not for infants, F(2, 68) = 0.34, p = .710, η p 2 = .01. Specifically, adults' area-weighted fixation counts on the eyes and nose were greater in high-variability than low-variability videos (ps < .003), but their fixation counts on the mouth were similar in high-variability and low-variability videos (p = .944). In contrast, infants' area-weighted fixation counts on all facial features were similar for high-variability and lowvariability videos (ps > .190)."
"p = .475";"results";"Testing phase (static face pairs)";13;2;4;"09567976211030630";"=";0,475;"2 Adults demonstrated a significant familiarity preference, t(47) = 3.32, p = .002, BF 10 = 17.49, whereas infants did not, t(39) = -0.72, p = .475, BF 10 = 0.22 (see Fig.";"1 Follow-up tests were run to compare the familiarization-preference score with chance level (.5) in each age group. 2 Adults demonstrated a significant familiarity preference, t(47) = 3.32, p = .002, BF 10 = 17.49, whereas infants did not, t(39) = -0.72, p = .475, BF 10 = 0.22 (see Fig. 6)."
"p = .142";"results";"Testing phase (static face pairs)";13;3;2;"09567976211030630";"=";0,142;"Although overall, infants had longer first fixations than adults (p = .020), infants' first fixations to the learned and novel models did not differ in length (p = .142), which is consistent with their lack of preference across the entire trial.";"Another metric of preference we compared was the length of the first fixations for the learned and novel models. Although overall, infants had longer first fixations than adults (p = .020), infants' first fixations to the learned and novel models did not differ in length (p = .142), which is consistent with their lack of preference across the entire trial."
"p = .311";"results";"Age-related change in infancy";14;1;2;"09567976211030630";"=";0,311;"The analyses revealed that infants' age in days did not predict their area-weighted fixation counts for faces learned in the high-variability videos, β = -0.51, t(33) = -1.03, p = .311, or low-variability videos, β = -0.07, t(33) = -0.15, p = .878, nor did it predict their familiarity preference in the testing phase for faces learned in the high-variability videos, β = 0.01, t(33) = 0.17, p = .854, or in the low-variability videos (see Fig. 7), β = 0.01, t(33) = -1.51, p = .142.";"To test whether infants' face learning across withinperson variability changes with age, we ran multiple linear regressions to predict their area-weighted fixation counts in the familiarization phase and their familiaritypreference score in the testing phase on the basis of their age in days. To test whether infants' face learning across withinperson variability changes with age, we ran multiple linear regressions to predict their area-weighted fixation counts in the familiarization phase and their familiaritypreference score in the testing phase on the basis of their age in days. To test whether infants' face learning across withinperson variability changes with age, we ran multiple linear regressions to predict their area-weighted fixation counts in the familiarization phase and their familiaritypreference score in the testing phase on the basis of their age in days. To test whether infants' face learning across withinperson variability changes with age, we ran multiple linear regressions to predict their area-weighted fixation counts in the familiarization phase and their familiaritypreference score in the testing phase on the basis of their age in days. The analyses revealed that infants' age in days did not predict their area-weighted fixation counts for faces learned in the high-variability videos, β = -0.51, t(33) = -1.03, p = .311, or low-variability videos, β = -0.07, t(33) = -0.15, p = .878, nor did it predict their familiarity preference in the testing phase for faces learned in the high-variability videos, β = 0.01, t(33) = 0.17, p = .854, or in the low-variability videos (see Fig. 7), β = 0.01, t(33) = -1.51, p = .142. The analyses revealed that infants' age in days did not predict their area-weighted fixation counts for faces learned in the high-variability videos, β = -0.51, t(33) = -1.03, p = .311, or low-variability videos, β = -0.07, t(33) = -0.15, p = .878, nor did it predict their familiarity preference in the testing phase for faces learned in the high-variability videos, β = 0.01, t(33) = 0.17, p = .854, or in the low-variability videos (see Fig. 7), β = 0.01, t(33) = -1.51, p = .142. The analyses revealed that infants' age in days did not predict their area-weighted fixation counts for faces learned in the high-variability videos, β = -0.51, t(33) = -1.03, p = .311, or low-variability videos, β = -0.07, t(33) = -0.15, p = .878, nor did it predict their familiarity preference in the testing phase for faces learned in the high-variability videos, β = 0.01, t(33) = 0.17, p = .854, or in the low-variability videos (see Fig. 7), β = 0.01, t(33) = -1.51, p = .142. The analyses revealed that infants' age in days did not predict their area-weighted fixation counts for faces learned in the high-variability videos, β = -0.51, t(33) = -1.03, p = .311, or low-variability videos, β = -0.07, t(33) = -0.15, p = .878, nor did it predict their familiarity preference in the testing phase for faces learned in the high-variability videos, β = 0.01, t(33) = 0.17, p = .854, or in the low-variability videos (see Fig. 7), β = 0.01, t(33) = -1.51, p = .142. These results suggest that there was no age-related change in face learning from naturalistic variability in 6-to 12-month-old infants in the current study. These results suggest that there was no age-related change in face learning from naturalistic variability in 6-to 12-month-old infants in the current study. These results suggest that there was no age-related change in face learning from naturalistic variability in 6-to 12-month-old infants in the current study. These results suggest that there was no age-related change in face learning from naturalistic variability in 6-to 12-month-old infants in the current study."
"p = .433";"fig";NA;8;NA;2;"09567976211030630";"=";0,433;"A significant Novelty × Age interaction, F(1, 86) = 8.20, p = .005, η p 2 = .09, suggests that whereas adults fixated longer on facial features of the learned model (M = .72, SE = .04) than of the novel model (M = .53, SE = .03), t(47) = 3.01, p = .004, Cohen's d = 0.43, infants demonstrated a similar fixation duration for facial features of the learned model (M = .45, SE = .03) and novel model (M = .48, SE = t(39) = -0.79, p = .433, Cohen's d = 0.13.";"01) and mouth (M = .05, SE = .01), a greater proportion of time looking at facial features of the learned face (M = .10, SE = .01) than the novel face (M = .08, SE = .01, p = .031), and a greater time looking at facial features of high-variability models (M = .09, SE = .01) than of low-variability models (M = .09, SE = .01, p = .031). A significant Novelty × Age interaction, F(1, 86) = 8.20, p = .005, η p 2 = .09, suggests that whereas adults fixated longer on facial features of the learned model (M = .72, SE = .04) than of the novel model (M = .53, SE = .03), t(47) = 3.01, p = .004, Cohen's d = 0.43, infants demonstrated a similar fixation duration for facial features of the learned model (M = .45, SE = .03) and novel model (M = .48, SE = t(39) = -0.79, p = .433, Cohen's d = 0.13. All other interactions were found to be nonsignificant (ps > .164)."
"p = .152 ";"results";"Results";13;5;1;"09567976211032224";"=";0,152;"The number of observed individuals had no effect on either the amount, F (, ) . 3 212 1 78 =, p = .152, η 2 02 = ., 90% CI = [.00, .06], the rate of cultural divergence, F (, ) . 3 208 0 60 =, p = .617, η p 2 = .00, 90% CI = [.00, .03].";"The number of observed individuals had no effect on either the amount, F (, ) . 3 212 1 78 =, p = .152, η 2 02 = ., 90% CI = [.00, .06], the rate of cultural divergence, F (, ) . 3 208 0 60 =, p = .617, η p 2 = .00, 90% CI = [.00, .03]. The number of observed individuals had no effect on either the amount, F (, ) . 3 212 1 78 =, p = .152, η 2 02 = ., 90% CI = [.00, .06], the rate of cultural divergence, F (, ) . 3 208 0 60 =, p = .617, η p 2 = .00, 90% CI = [.00, .03]. Across conditions, participants' average Hamming distance was only 26.37 from the in-group but 27.28 from the out-group, a mean difference of -0 91 Across conditions, participants' average Hamming distance was only 26.37 from the in-group but 27.28 from the out-group, a mean difference of -0 91"
"p = .694 ";"results";"Results";13;7;3;"09567976211032224";"=";0,694;"However, unlike in Experiment 1, the amount of cultural divergence did not grow over time, t( ) . 214 0 39 =, p = .694, r 2 00 = ., 90% CI = [.00, .02].";"]. However, unlike in Experiment 1, the amount of cultural divergence did not grow over time, t( ) . 214 0 39 =, p = .694, r 2 00 = ., 90% CI = [.00, .02]. Given the smaller sample size in Experiment 2, it is possible that this growth was simply harder to detect than the mere presence of cultural divergence."
"p = .591";"results";"Congruency costs extend to perceptual identification";9;3;3;"09567976211032676";"=";0,591;"There was no difference between congruent and incongruent trials in the probe-other condition, t(193) = -0.23, p = .591, d = 0.02; difference: M = -0.30%, 95% CI = [-2.45, 1.85] (see Fig. 3), and the data were about 3 times more likely under the null hypothesis of no difference (BF 10 = 0.34).";"3). There was no difference between congruent and incongruent trials in the probe-other condition, t(193) = -0.23, p = .591, d = 0.02; difference: M = -0.30%, 95% CI = [-2.45, 1.85] (see Fig. 3), and the data were about 3 times more likely under the null hypothesis of no difference (BF 10 = 0.34). RT data showed a very similar pattern: Responses were slower for congruent than for incongruent trials within the probe-key condition, t(193) = 4.21, p < .001, d = 0.30, BF 10 = 677.40; difference M = 0.053 log 10 (RT/s), 95% CI = [0.032, 0.074]; congruent: M = 1.15 s, incongruent: M = 1.09 s, difference: M = 0.060 s (see Fig."
"p = .152";"results";"Congruency costs extend to perceptual identification";9;3;5;"09567976211032676";"=";0,152;"S7 in the Supplemental Material), but there was no such difference for the probe-other condition, t(193) = -1.03, p = .152, d = 0.07; difference: M = -0.013 log 10 (RT/s), 95% CI = [-0.035, 0.0080]; congruent: M = 1.21 s, incongruent: M = 1.24 s, difference M = -0.032 s (see Fig.";"RT data showed a very similar pattern: Responses were slower for congruent than for incongruent trials within the probe-key condition, t(193) = 4.21, p < .001, d = 0.30, BF 10 = 677.40; difference M = 0.053 log 10 (RT/s), 95% CI = [0.032, 0.074]; congruent: M = 1.15 s, incongruent: M = 1.09 s, difference: M = 0.060 s (see Fig. S7 in the Supplemental Material), but there was no such difference for the probe-other condition, t(193) = -1.03, p = .152, d = 0.07; difference: M = -0.013 log 10 (RT/s), 95% CI = [-0.035, 0.0080]; congruent: M = 1.21 s, incongruent: M = 1.24 s, difference M = -0.032 s (see Fig. S7), although the evidence for a null effect here was anecdotal at best (BF 10 = 0.54)."
"p = .30";"results";"Congruency costs are not explained by task strategy";10;2;4;"09567976211032676";"=";0,3;"We found no effect of p(probe key|incongruent) on task effects in either 2AFC accuracy, Spearman's r(192) = .074, p = .30, 95% CI = [-.067, .21] (see Fig. 4), or RT, r(192) = -.023, p = .75, 95% CI = [-.16, .12], and the data were about 7 times more likely under the null hypothesis of no correlation for accuracy (BF 10 = 0.15) and about 11 times more likely under the null hypothesis for RT (BF 10 = 0.094).";"For Experiment 2, we manipulated p(probe key|incongruent) across participants to test to what extent the potential confound of task strategy might explain observed congruency costs. For Experiment 2, we manipulated p(probe key|incongruent) across participants to test to what extent the potential confound of task strategy might explain observed congruency costs. We found no effect of p(probe key|incongruent) on task effects in either 2AFC accuracy, Spearman's r(192) = .074, p = .30, 95% CI = [-.067, .21] (see Fig. 4), or RT, r(192) = -.023, p = .75, 95% CI = [-.16, .12], and the data were about 7 times more likely under the null hypothesis of no correlation for accuracy (BF 10 = 0.15) and about 11 times more likely under the null hypothesis for RT (BF 10 = 0.094). We found no effect of p(probe key|incongruent) on task effects in either 2AFC accuracy, Spearman's r(192) = .074, p = .30, 95% CI = [-.067, .21] (see Fig. 4), or RT, r(192) = -.023, p = .75, 95% CI = [-.16, .12], and the data were about 7 times more likely under the null hypothesis of no correlation for accuracy (BF 10 = 0.15) and about 11 times more likely under the null hypothesis for RT (BF 10 = 0.094)."
"p = .53";"results";"Congruency costs are not explained by task strategy";10;5;1;"09567976211032676";"=";0,53;"To account for this, we additionally computed the inverse-efficiency score (Vandierendonck, 2017), which also did not show an effect of p(probe key|incongruent), r(192) = .045, p = .53, 95% CI = [-.096, .19], and the data were about 9 times more likely under the null hypothesis (BF 10 = 0.11).";"To account for this, we additionally computed the inverse-efficiency score (Vandierendonck, 2017), which also did not show an effect of p(probe key|incongruent), r(192) = .045, p = .53, 95% CI = [-.096, .19], and the data were about 9 times more likely under the null hypothesis (BF 10 = 0.11)."
